Année,Date,Durée,Lieu,Labo/Structure,Code Thème,Thématique,Formateurice,Public,Nb de personnes formées,Précisions éventuelles
2022,44686,03:00:00,visio ,EC AMU lauréats ANR,DR,DMP OPIDoR,CSD,EC,27,PGD - DMP OPIDoR + cedre
2022,44719,03:00:00,visio ,EC AMU lauréats ANR,DR,DMP OPIDoR,CSD,EC,17,PGD - DMP OPIDoR (2 cedre inscrits mais abs)
2022,44686,01:00:00,visio ,IST hors AMU,SO,QJ,IG,IST hors AMU,1,formation sur questions juridiques contrat / diffusion OA
2022,44692,01:30:00,visio ,IST AMU,SO,QJ,IG,IST AMU ,1,formation sur questions juridiques contrat / diffusion OA
2022,44699,01:30:00,présentiel,IST AMU,SO,QJ,IG,IST AMU ,1,formation d'AMU Editions aux licences CC et contrat d'édition
2022,44700,01:30:00,visio ,SoMuM,SO,QJ,IG,D/IST,6,4 D et 2 IST - formation sur les contrats d'édition et les licences CC
2022,44701,00:30:00,visio ,LERMA,HAL ,QJ,IG,EC,1,formation en lien avec le bonus
2022,44726,03:00:00,visio ,EC AMU lauréats ANR,DR,DMP OPIDoR,CSD,EC,3,PGD - DMP OPIDoR 
2022,44728,03:00:00,visio ,EC AMU lauréats ANR,DR,DMP OPIDoR,CSD,EC,10,PGD - DMP OPIDoR 
2022,44720,01:00:00,visio ,Personnels administratifs AMU,DE et SO,rechercher dans les ressources payantes et gratuites ,IG,Personnels administratifs AMU,1,formation individuelle personnel administratif AMU à la docelec et aux ressources en accès ouvert
2022,44725,01:00:00,visio ,SoMuM,SO,QJ,IG,IST AMU ,1,formation licence CC
2022,44726,01:00:00,visio ,IST hors AMU,HAL ,QJ,IG,IST hors AMU,2,formation pour collègues UCO
2022,44732,02:00:00,visio ,D,SO,Enjeux de la publication scientifique,IG,D,14,formation en français
2022,44734,01:00:00,visio ,MMG,HAL ,HAL,IG,EC,1,formation individuelle
2022,44735,01:00:00,visio ,CERGAM,HAL ,HAL,IG,D,1,formation pour centraliser dépôts des chercheurs du CERGAM ne déposant pas
2022,44746,00:45:00,visio ,LATP,HAL ,QJ,IG,EC,1,formation individuelle
2022,44753,01:30:00,visio ,D,HAL ,HAL,IG,D,13,formation en visio
2022,44811,00:30:00,visio ,PIIM,HAL ,QJ,IG,EC,1,formation en visio
2022,44824,00:45:00,visio ,LESA,HAL ,HAL,IG,EC,1,formation en visio
2022,44826,02:00:00,visio ,M2 chimie,SO,SO,IG,M,12,formation pour les M2 chimie (coordination F. Borget)
2022,44834,02:00:00,visio ,M2 chimie,SO,SO,IG,M,12,formation pour les M2 chimie (coordination F. Borget)
2022,44837,00:30:00,visio ,LPCPP,HAL ,QJ,IG,EC,1,formation individuelle
2022,44853,01:15:00,visio ,Institu Fresnel,SO,QJ,IG,EC,1,formation questions juridiques Plan S
2022,44854,01:00:00,visio ,M2 chimie,SO,QJ,IG,M,12,formation pour les M2 chimie (coordination F. Borget) point sur les licences CC
2022,44858,00:30:00,visio ,Iméra,SO,QJ,IG,EC,1,formation pour demande de republication textes 
2022,44858,00:45:00,visio ,ADEF,HAL ,Dépôt,JC,EC,1,formation pour assistance HAL
