Année,Date,Durée,Lieu,Labo/Structure,Code Thème,Thématique,Formateurice,Public,Nb de personnes formées,Précisions éventuelles
2022,15/10/2021,03:00:00,visio ,C,DR,"PGD, DMP OPIDoR",CSD,C,8,formation DMP organisée avec le SPV CNRS lauréats ANR CNRS. (Précision CSD :   porteurs de projets mais je ne connais pas la distinction IS. Majorité de chercheurs je pense. Rajout MH 07/01/2022)
2021,44470,01:15:00,visio ,MMSH,HAL,HAL,IG,IST AMU,1,formation individuelle pour SOMUM
2021,44480,01:00:00,visio ,CDE,HAL,HAL,IG,EC,8,formation en visio à la demande du labo
2021,20/10/2021,00:30:00,visio ,SCD - département sciences ,HAL,HAL,IG,BU,1,formation de Caroline Peron pour co-animer formation D en anglais 
2021,20/10/2021,02:00:00,MMSH,SOMUM,HAL,HAL,IG ,IST AMU,1,formation en présentiel à la MMSH pour projet SOMUM
2021,25/10/2021,01:00:00,BU Fenouillères,SCD ,HAL,HAL,IG ,IST hors AMU,1,"formation de M.Seck, bibliothécaire archiviste à Dakar et actuellement stagiaire à la BU Droit"
2021,26/10/2021,01:45:00,viso,MMSH,JU,questions juridiques publications ,IG ,IST AMU ,1,formation individuelle à la demande pour accompagement juridique d'un projet éditorial 
2021,15/11/2021,02:00:00,visio ,IM2NP,HAL,HAL ,JC et IG ,EC,6,formation en visio à la demande du labo
2021,22/11/2021,02:00:00,visio ,Doctorants AMU,SO,enjeux de la publication scientifique en anglais,IG et Caroline Peron,D,11,formation pour les doctorants en anglais 
2021,22/11/2021,01:00:00,visio ,Doctorants AMU,HAL,Déposer dans HAL en anglais,IG et Caroline Peron,D,11,formation pour les doctorants en anglais 
2021,44525,02:30:00,visio ,EC AMU lauréats ANR,DR,"PGD, DMP OPIDoR",CSD,EC,10,formation aux lauréats ANR
2021,29/11/2021 ,01:15:00,visio ,EC AMU,HAL,HAL ,IG,EC,6,"formation pour le BIAM, équipe LEMIRE"
2021,44532,00:45:00,visio ,EC hors AMU,HAL,HAL ,IG,EC,1,formation dans le cadre d'OpenDoctrine
2021,44533,02:30:00,visio ,EC AMU lauréats ANR,DR,"PGD, DMP OPIDoR",CSD,EC,5,formation aux lauréats ANR
2021,44532,02:30:00,visio ,EC AMU lauréats ANR,DR,"PGD, DMP OPIDoR",CSD,EC,8,formation aux lauréats ANR
2021,44539,02:00:00,St Charles,équipe civis,SO,SO,CSD et IG,IST AMU ,2,consulting SO
2021,44539,02:00:00,St Charles,équipe cedre,SO,SO,CSD et IG,IST AMU ,3,senbilisation SO
2021,44543,02:30:00,visio ,EC AMU lauréats ANR,DR,"PGD, DMP OPIDoR",CSD,EC,5,formation aux lauréats ANR
